,DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location ,Location Good,Date Occurred (datetime),Zip Code
1699015,182007293,03/02/2018,03/02/2018,350,20,Olympic,2088,510,VEHICLE - STOLEN,,17.0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,1800    ARAPAHOE                     ST,,"(34.0418, -118.2852)",True,2018-03-02,90006
1703874,181707287,03/09/2018,03/08/2018,740,17,Devonshire,1764,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",1814 0352 0344 1501,27.0,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341.0,,,,9400    CORBIN                       AV,,"(34.241, -118.5623)",True,2018-03-08,91324
1693666,181706624,02/24/2018,02/24/2018,1530,17,Devonshire,1774,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421,17.0,M,H,721.0,HIGH SCHOOL,511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,9600    ZELZAH                       AV,,"(34.2428, -118.5253)",True,2018-02-24,91330
1665919,182104789,01/12/2018,01/12/2018,1300,21,Topanga,2169,310,BURGLARY,1307 0344,44.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,6200    JUMILLA                      AV,,"(34.1831, -118.5638)",True,2018-01-12,91367
1670103,181805423,01/26/2018,01/17/2018,1900,18,Southeast,1837,330,BURGLARY FROM VEHICLE,1822 0344 1300 1601,44.0,M,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,1700 E  109TH                        ST,,"(33.9371, -118.2421)",True,2018-01-17,90059
1672348,180605745,01/31/2018,01/31/2018,230,6,Hollywood,615,310,BURGLARY,1605 0344 0314,59.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,3400    WONDER VIEW                  DR,,"(34.1298, -118.3403)",True,2018-01-31,90068
1677864,180905652,01/31/2018,01/31/2018,2020,9,Van Nuys,911,624,BATTERY - SIMPLE ASSAULT,1810 0416,99.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,15400    HARTLAND                     ST,,"(34.1953, -118.4695)",True,2018-01-31,91406
1698795,181907200,02/25/2018,02/25/2018,830,19,Mission,1982,813,CHILD ANNOYING (17YRS & UNDER),1258 1810 0443,,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,813.0,,,,15100    RAYEN                        ST,,"(34.2319, -118.4611)",True,2018-02-25,91343
1684467,181806263,02/09/2018,02/09/2018,710,18,Southeast,1821,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0400,25.0,F,B,503.0,HOTEL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,9500 S  FIGUEROA                     ST,,"(33.9467, -118.2871)",True,2018-02-09,90044
1687348,180906717,02/21/2018,02/03/2018,800,9,Van Nuys,923,649,DOCUMENT FORGERY / STOLEN FELONY,0935 1822,42.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,649.0,,,,14600    GILMORE                      ST,,"(34.1877, -118.4509)",True,2018-02-03,91411
1680943,180106920,02/02/2018,02/02/2018,1620,1,Central,147,624,BATTERY - SIMPLE ASSAULT,0416,51.0,M,O,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,300 E  5TH                          ST,,"(34.0453, -118.2443)",True,2018-02-02,90013
1705000,182107431,03/12/2018,03/09/2018,1500,21,Topanga,2196,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344,44.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341.0,,,,4400    CANOGA                       AV,,"(34.1495, -118.5955)",True,2018-03-09,91364
1669765,181704917,01/20/2018,01/18/2018,1900,17,Devonshire,1728,354,THEFT OF IDENTITY,1822 0930 0922,51.0,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,11000    YOLANDA                      AV,,"(34.2705, -118.542)",True,2018-01-18,91326
1665456,181904802,01/16/2018,01/03/2018,1600,19,Mission,1902,649,DOCUMENT FORGERY / STOLEN FELONY,0923 1822,48.0,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,649.0,,,,13600    BORDEN                       AV,,"(34.3192, -118.4583)",True,2018-01-03,91342
1692802,181307147,02/25/2018,02/25/2018,130,13,Newton,1331,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1309 0334 1266 0302 0432,29.0,M,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,230.0,,,,33RD                         ST,BROADWAY,"(34.0199, -118.2733)",True,2018-02-25,90007
1692828,181307210,02/25/2018,02/25/2018,2155,13,Newton,1342,624,BATTERY - SIMPLE ASSAULT,0913 0448 0419 0603 0361 0416 0417 0444,43.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,500 E  36TH                         ST,,"(34.0146, -118.268)",True,2018-02-25,90011
1700407,180308918,03/15/2018,03/15/2018,900,3,Southwest,398,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",1300 0329 0913 2038,59.0,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",310.0,CONCRETE BLOCK/BRICK,IC,Invest Cont,740.0,,,,600 W  42ND                         ST,,"(34.0071, -118.2842)",True,2018-03-15,90037
1669949,181805065,01/19/2018,01/17/2018,1830,18,Southeast,1844,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0906 2000 1814 0448 0416 0408,35.0,F,B,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236.0,910.0,,,108TH                        ST,AVALON                       BL,"(33.9383, -118.2652)",True,2018-01-17,90061
1658014,181004218,01/05/2018,01/05/2018,1715,10,West Valley,1034,210,ROBBERY,0329 0342 0344 0346 0359 0913,20.0,F,W,109.0,PARK/PLAYGROUND,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,18400    VICTORY                      BL,,"(34.1866, -118.5339)",True,2018-01-05,91335
