Description,Type
THEFT,Theft
BATTERY,Assault
CRIMINAL DAMAGE,Destruction of Property
NARCOTICS,Miscellaneous
ASSAULT,Assault
BURGLARY,Theft
OTHER OFFENSE,Legal
DECEPTIVE PRACTICE,Fraud
MOTOR VEHICLE THEFT,Theft
ROBBERY,Theft
CRIMINAL TRESPASS,Disruption
WEAPONS VIOLATION,Assault
PUBLIC PEACE VIOLATION,Disruption
OFFENSE INVOLVING CHILDREN,Crime against children
PROSTITUTION,Sexual
CRIM SEXUAL ASSAULT,Sexual
INTERFERENCE WITH PUBLIC OFFICER,Legal
SEX OFFENSE,Sexual
HOMICIDE,Assault
GAMBLING,Miscellaneous
ARSON,Destruction of Property
LIQUOR LAW VIOLATION,Miscellaneous
KIDNAPPING,Crime against children
STALKING,Sexual
INTIMIDATION,Legal
OBSCENITY,Legal
CONCEALED CARRY LICENSE VIOLATION,Legal
NON-CRIMINAL,Legal
PUBLIC INDECENCY,Disruption
OTHER NARCOTIC VIOLATION,Miscellaneous
NON-CRIMINAL (SUBJECT SPECIFIED),Legal
