THEFT,1373129
BATTERY,1197786
CRIMINAL DAMAGE,752074
NARCOTICS,702061
OTHER OFFENSE,406919
ASSAULT,404381
BURGLARY,379898
MOTOR VEHICLE THEFT,307765
ROBBERY,249250
DECEPTIVE PRACTICE,248870
CRIMINAL TRESPASS,188805
PROSTITUTION,67757
WEAPONS VIOLATION,66877
PUBLIC PEACE VIOLATION,46843
OFFENSE INVOLVING CHILDREN,43676
CRIM SEXUAL ASSAULT,25857
SEX OFFENSE,24191
INTERFERENCE WITH PUBLIC OFFICER,14239
GAMBLING,14236
LIQUOR LAW VIOLATION,13863
ARSON,10890
HOMICIDE,9010
KIDNAPPING,6559
INTIMIDATION,3816
STALKING,3221
OBSCENITY,521
CONCEALED CARRY LICENSE VIOLATION,169
PUBLIC INDECENCY,150
NON-CRIMINAL,140
OTHER NARCOTIC VIOLATION,123
HUMAN TRAFFICKING,39
NON - CRIMINAL,38
RITUALISM,23
NON-CRIMINAL (SUBJECT SPECIFIED),6
DOMESTIC VIOLENCE,1
