Description,Type
BATTERY - SIMPLE ASSAULT,Assault
BURGLARY FROM VEHICLE,Theft
VEHICLE - STOLEN,Theft
BURGLARY,Theft
THEFT PLAIN - PETTY ($950 & UNDER),Theft
THEFT OF IDENTITY,Fraud
INTIMATE PARTNER - SIMPLE ASSAULT,Assault
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",Destruction of Property
VANDALISM - MISDEAMEANOR ($399 OR UNDER),Destruction of Property
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Assault
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),Theft
ROBBERY,Theft
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",Theft
CRIMINAL THREATS - NO WEAPON DISPLAYED,Legal
SHOPLIFTING - PETTY THEFT ($950 & UNDER),Theft
THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),Theft
DOCUMENT FORGERY / STOLEN FELONY,Fraud
OTHER MISCELLANEOUS CRIME,Miscellaneus
VIOLATION OF COURT ORDER,Legal
"LETTERS, LEWD",Sexual
TRESPASSING,Disruption
VIOLATION OF RESTRAINING ORDER,Legal
"THEFT, PERSON",Theft
"BURGLARY, ATTEMPTED",Theft
BRANDISH WEAPON,Assault
INTIMATE PARTNER - AGGRAVATED ASSAULT,Assault
BIKE - STOLEN,Theft
ATTEMPTED ROBBERY,Theft
BATTERY WITH SEXUAL CONTACT,Sexual
"RAPE, FORCIBLE",Sexual
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,Crimes against children
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)0060,Crimes against children
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",Fraud
"BUNCO, GRAND THEFT",Fraud
CHILD NEGLECT (SEE 300 W.I.C.),Crimes against children
CHILD ANNOYING (17YRS & UNDER),Crimes against children
BATTERY POLICE (SIMPLE),Assault
"BUNCO, PETTY THEFT",Fraud
"SEX, UNLAWFUL",Sexual
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),Theft
DISCHARGE FIREARMS/SHOTS FIRED,Assault
DISTURBING THE PEACE,Disruption
ARSON,Destruction of Property
CONTEMPT OF COURT,Legal
INDECENT EXPOSURE,Sexual
RESISTING ARREST,Assault
VEHICLE - ATTEMPT STOLEN,Theft
THREATENING PHONE CALLS/LETTERS,Legal
"BURGLARY FROM VEHICLE, ATTEMPTED",Theft
CRIMINAL HOMICIDE,Assault
OTHER ASSAULT,Assault
SHOTS FIRED AT INHABITED DWELLING,Assault
EXTORTION,Fraud
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER",Theft
KIDNAPPING,Crimes against children
STALKING,Sexual
SEXUAL PENTRATION WITH A FOREIGN OBJECT,Sexual
THEFT PLAIN - ATTEMPT,Theft
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,Crimes against children
ORAL COPULATION,Sexual
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,Assault
THROWING OBJECT AT MOVING VEHICLE,Disruption
CRUELTY TO ANIMALS,Assault
SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH 0007=02,Sexual
VIOLATION OF TEMPORARY RESTRAINING ORDER,Legal
UNAUTHORIZED COMPUTER ACCESS,Fraud
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",Sexual
LEWD CONDUCT,Sexual
PURSE SNATCHING,Theft
THEFT FROM MOTOR VEHICLE - ATTEMPT,Theft
PEEPING TOM,Sexual
CHILD STEALING,Theft
"RAPE, ATTEMPTED",Sexual
BOMB SCARE,Legal
PROWLER,Disruption
FALSE IMPRISONMENT,Legal
COUNTERFEIT,Fraud
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",Fraud
PICKPOCKET,Theft
KIDNAPPING - GRAND ATTEMPT,Theft
"BUNCO, ATTEMPT",Fraud
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",Theft
PIMPING,Sexual
ILLEGAL DUMPING,Destruction of Property
DRIVING WITHOUT OWNER CONSENT (DWOC),Disruption
FALSE POLICE REPORT,Legal
FAILURE TO YIELD,Disruption
DOCUMENT WORTHLESS ($200.01 & OVER),Fraud
SEXUAL PENETRATION W/FOREIGN OBJECT,Sexual
"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ0059",Sexual
BATTERY ON A FIREFIGHTER,Assault
BOAT - STOLEN,Theft
THEFT FROM PERSON - ATTEMPT,Theft
PANDERING,Sexual
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",Assault
"CREDIT CARDS, FRAUD USE ($950 & UNDER",Fraud
RECKLESS DRIVING,Disruption
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $400",Theft
"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",Theft
SHOPLIFTING - ATTEMPT,Theft
CONTRIBUTING,Legal
WEAPONS POSSESSION/BOMBING,Destruction of Property
DISHONEST EMPLOYEE - GRAND THEFT,Theft
DISHONEST EMPLOYEE - PETTY THEFT,Theft
CHILD ABANDONMENT,Crimes against children
TILL TAP - PETTY ($950 & UNDER),Theft
GRAND THEFT / INSURANCE FRAUD,Fraud
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,Human Trafficking
CONSPIRACY,Legal
DOCUMENT WORTHLESS ($200 & UNDER),Fraud
LYNCHING,Assault
LEWD/LASCIVIOUS ACTS WITH CHILD,Crimes against children
PURSE SNATCHING - ATTEMPT,Theft
"DRUGS, TO A MINOR",Crimes against children
DISRUPT SCHOOL,Disruption
CHILD PORNOGRAPHY,Crimes against children
"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",Theft
TELEPHONE PROPERTY - DAMAGE,Destruction of Property
BIKE - ATTEMPTED STOLEN,Theft
BRIBERY,Legal
DRUNK ROLL,Theft
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM0065",Sexual
"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)0132",Fraud
LYNCHING - ATTEMPTED,Assault
PETTY THEFT - AUTO REPAIR,Theft
"THEFT, COIN MACHINE - ATTEMPT",Theft
"PICKPOCKET, ATTEMPT",Theft
FAILURE TO DISPERSE,Disruption
TILL TAP - GRAND THEFT ($950.01 & OVER),Theft
GRAND THEFT / AUTO REPAIR,Theft
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,Human Trafficking
INCITING A RIOT,Disruption
BIGAMY,Sexual
DISHONEST EMPLOYEE ATTEMPTED THEFT,Theft
INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),Sexual
ABORTION/ILLEGAL,Crimes against children
"MANSLAUGHTER, NEGLIGENT",Assault
TILL TAP - ATTEMPT,Theft
BLOCKING DOOR INDUCTION CENTER,Disruption
TRAIN WRECKING,Assault
FIREARMS RESTRAINING ORDER (FIREARMS RO),Legal
DRUNK ROLL - ATTEMPT,Theft
