Crime Code Description,Count,Type
BATTERY - SIMPLE ASSAULT,133075,Assult
BURGLARY FROM VEHICLE,109284,Theft
VEHICLE - STOLEN,108639,Theft
BURGLARY,104822,Theft
THEFT PLAIN - PETTY ($950 & UNDER),104241,Theft
THEFT OF IDENTITY,94078,Fraud
INTIMATE PARTNER - SIMPLE ASSAULT,77314,Assault
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",70810,Destruction of Property
VANDALISM - MISDEAMEANOR ($399 OR UNDER),65527,Destruction of Property
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",60132,Assault
ROBBERY,56950,Theft
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),56840,Theft
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",52269,Theft
CRIMINAL THREATS - NO WEAPON DISPLAYED,41116,Legal
SHOPLIFTING - PETTY THEFT ($950 & UNDER),31019,Theft
THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),20333,Theft
DOCUMENT FORGERY / STOLEN FELONY,17550,Fraud
OTHER MISCELLANEOUS CRIME,15289,Miscellaneus
"LETTERS, LEWD",15241,Legal
VIOLATION OF COURT ORDER,14855,Sexual
TRESPASSING,12436,Disruption
VIOLATION OF RESTRAINING ORDER,11875,Legal
"THEFT, PERSON",9133,Theft
"BURGLARY, ATTEMPTED",8967,Theft
ATTEMPTED ROBBERY,8102,Assault
BATTERY WITH SEXUAL CONTACT,7333,Assault
BRANDISH WEAPON,7181,Theft
BIKE - STOLEN,7078,Theft
INTIMATE PARTNER - AGGRAVATED ASSAULT,6818,Sexual
"RAPE, FORCIBLE",6697,Sexual
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)0060,6275,Crimes against children
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,6250,Crimes against children
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",5463,Fraud
CHILD NEGLECT (SEE 300 W.I.C.),4340,Fraud
"BUNCO, GRAND THEFT",4324,Crimes against children
CHILD ANNOYING (17YRS & UNDER),3960,Crimes against children
"SEX, UNLAWFUL",3211,Assault
BATTERY POLICE (SIMPLE),3067,Fraud
"BUNCO, PETTY THEFT",2585,Sexual
DISCHARGE FIREARMS/SHOTS FIRED,2560,Theft
DISTURBING THE PEACE,2519,Assault
THREATENING PHONE CALLS/LETTERS,2371,Disruption
RESISTING ARREST,2367,Destruction of Property
ARSON,2356,Legal
VEHICLE - ATTEMPT STOLEN,2312,Sexual
INDECENT EXPOSURE,2311,Assault
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),2298,Theft
"BURGLARY FROM VEHICLE, ATTEMPTED",2104,Legal
CRIMINAL HOMICIDE,1976,Theft
CONTEMPT OF COURT,1879,Assault
SHOTS FIRED AT INHABITED DWELLING,1830,Assault
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER",1573,Assault
KIDNAPPING,1501,Fraud
OTHER ASSAULT,1397,Theft
STALKING,1382,Crimes against children
EXTORTION,1352,Sexual
SEXUAL PENTRATION WITH A FOREIGN OBJECT,1316,Sexual
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,1215,Theft
THEFT PLAIN - ATTEMPT,1187,Crimes against children
ORAL COPULATION,1144,Sexual
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1131,Assault
CRUELTY TO ANIMALS,1074,Disruption
THROWING OBJECT AT MOVING VEHICLE,1001,Assault
SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH 0007=02,927,Sexual
LEWD CONDUCT,875,Legal
PURSE SNATCHING,867,Fraud
CHILD STEALING,861,Sexual
UNAUTHORIZED COMPUTER ACCESS,849,Sexual
VIOLATION OF TEMPORARY RESTRAINING ORDER,841,Theft
THEFT FROM MOTOR VEHICLE - ATTEMPT,834,Theft
"RAPE, ATTEMPTED",811,Sexual
PEEPING TOM,801,Theft
BOMB SCARE,738,Sexual
PROWLER,672,Legal
COUNTERFEIT,663,Disruption
FALSE IMPRISONMENT,640,Legal
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",623,Fraud
