Primary Type,Count,Type
THEFT,227610,Theft
BATTERY,193537,Assault
CRIMINAL DAMAGE,117419,Destruction of Property
NARCOTICS,95666,Miscellaneous
ASSAULT,66654,Assault
BURGLARY,64161,Theft
OTHER OFFENSE,63636,Legal
DECEPTIVE PRACTICE,48161,Fraud
MOTOR VEHICLE THEFT,47711,Theft
ROBBERY,42028,Theft
CRIMINAL TRESPASS,26170,Disruption
WEAPONS VIOLATION,12126,Assault
PUBLIC PEACE VIOLATION,9005,Disruption
OFFENSE INVOLVING CHILDREN,7541,Crime against children
PROSTITUTION,5596,Sexual
CRIM SEXUAL ASSAULT,4518,Sexual
INTERFERENCE WITH PUBLIC OFFICER,3623,Legal
SEX OFFENSE,3311,Sexual
HOMICIDE,2859,Assault
GAMBLING,1825,Miscellaneous
ARSON,1669,Destruction of Property
LIQUOR LAW VIOLATION,1516,Miscellaneous
KIDNAPPING,811,Crime against children
STALKING,562,Sexual
INTIMIDATION,500,Legal
OBSCENITY,129,Legal
CONCEALED CARRY LICENSE VIOLATION,69,Legal
NON-CRIMINAL,83,Legal
PUBLIC INDECENCY,38,Disruption
OTHER NARCOTIC VIOLATION,19,Miscellaneous
NON-CRIMINAL (SUBJECT SPECIFIED),2,Legal
