Discriptopn,Count,Type,,,
PETIT LARCENY,81317,Theft,,,
HARRASSMENT 2,57344,Assault,,,
ASSAULT 3 & RELATED OFFENSES,52610,Assault,,,
CRIMINAL MISCHIEF & RELATED OF,50878,Assault,,,
DANGEROUS DRUGS,38919,Miscellaneous,,,
GRAND LARCENY,38117,Theft,,,
OFF. AGNST PUB ORD SENSBLTY &,30278,Miscellaneous,,,
ROBBERY,19547,Theft,,,Count
BURGLARY,18699,Theft,,,Type    
FELONY ASSAULT,17064,Assault,,,Assault    360467
DANGEROUS WEAPONS,14129,Assault,,,Crimes against children    26600
MISCELLANEOUS PENAL LAW,11393,Miscellaneous,,,Destruction of Property    165568
OFFENSES AGAINST PUBLIC ADMINI,11120,Lega,,,Disruption    21817
GRAND LARCENY OF MOTOR VEHICLE,10301,,,,Fraud    148187
CRIMINAL TRESPASS,7714,,,,Human Trafficking    66
INTOXICATED & IMPAIRED DRIVING,6690,,,,Legal    88052
VEHICLE AND TRAFFIC LAWS,6616,,,,Miscellaneus    17381
SEX CRIMES,5524,,,,Sexual    50195
THEFT-FRAUD,5173,,,,Theft    826369
FORGERY,4769,,,,
FRAUDS,3111,,,,
POSSESSION OF STOLEN PROPERTY,3087,,,,
OFFENSES INVOLVING FRAUD,2289,,,,
ARSON,1485,,,,
RAPE,1365,,,,
UNAUTHORIZED USE OF A VEHICLE,1295,,,,
OFFENSES AGAINST THE PERSON,1199,,,,
ADMINISTRATIVE CODE,1127,,,,
OTHER OFFENSES RELATED TO THEF,964,,,,
OTHER STATE LAWS (NON PENAL LA,577,,,,
MURDER & NON-NEGL. MANSLAUGHTER,535,,,,
NYS LAWS-UNCLASSIFIED FELONY,364,,,,
THEFT OF SERVICES,321,,,,
FRAUDULENT ACCOSTING,310,,,,
KIDNAPPING & RELATED OFFENSES,243,,,,
BURGLAR'S TOOLS,222,,,,
GAMBLING,191,,,,
DISORDERLY CONDUCT,162,,,,
OFFENSES RELATED TO CHILDREN,157,,,,
OFFENSES AGAINST PUBLIC SAFETY,110,,,,
ALCOHOLIC BEVERAGE CONTROL LAW,86,,,,
PROSTITUTION & RELATED OFFENSES,85,,,,
PETIT LARCENY OF MOTOR VEHICLE,58,,,,
OTHER STATE LAWS,40,,,,
CHILD ABANDONMENT/NON SUPPORT,33,,,,
JOSTLING,19,,,,
"LOITERING/GAMBLING (CARDS, DIC",16,,,,
ESCAPE 3,15,,,,
HOMICIDE-NEGLIGENT-VEHICLE,12,,,,
ANTICIPATORY OFFENSES,10,,,,
ENDAN WELFARE INCOMP,9,,,,
INTOXICATED/IMPAIRED DRIVING,8,,,,
UNLAWFUL POSS. WEAP. ON SCHOOL,5,,,,
NEW YORK CITY HEALTH CODE,4,,,,
"HOMICIDE-NEGLIGENT,UNCLASSIFIE",3,,,,
DISRUPTION OF A RELIGIOUS SERV,3,,,,
FORTUNE TELLING,3,,,,
ADMINISTRATIVE CODES,2,,,,
LOITERING FOR DRUG PURPOSES,2,,,,
LOITERING,1,Disrutpion,,,
