Description ,Count,Type
PETIT LARCENY,81079,Theft
HARRASSMENT 2,54230,Assault
ASSAULT 3 & RELATED OFFENSES,50872,Assault
CRIMINAL MISCHIEF & RELATED OF,49314,Assault
GRAND LARCENY,38815,Theft
DANGEROUS DRUGS,38467,Miscellaneous 
OFF. AGNST PUB ORD SENSBLTY &,28065,Disruption 
ROBBERY,19765,Theft
BURGLARY,18833,Theft
FELONY ASSAULT,18607,Assault
DANGEROUS WEAPONS,13639,Miscellaneous 
MISCELLANEOUS PENAL LAW,11426,Miscellaneous 
OFFENSES AGAINST PUBLIC ADMINI,11062,Legal
GRAND LARCENY OF MOTOR VEHICLE,9292,Theft
CRIMINAL TRESPASS,6826,Disruption 
INTOXICATED & IMPAIRED DRIVING,6028,Disruption 
VEHICLE AND TRAFFIC LAWS,5812,Disruption 
THEFT-FRAUD,5744,Fraud
SEX CRIMES,5630,Sexual
FORGERY,3994,Legal
POSSESSION OF STOLEN PROPERTY,3662,Theft
FRAUDS,3182,Fraud
OFFENSES INVOLVING FRAUD,1972,Fraud
RAPE,1410,Sexual
UNAUTHORIZED USE OF A VEHICLE,1305,Theft
ARSON,1247,Destruction of Property
OFFENSES AGAINST THE PERSON,1202,Assault
ADMINISTRATIVE CODE,1153,Legal
OTHER OFFENSES RELATED TO THEF,918,Theft
OTHER STATE LAWS (NON PENAL LA,577,Miscellaneous 
MURDER & NON-NEGL. MANSLAUGHTER,514,Assault
THEFT OF SERVICES,303,Theft
FRAUDULENT ACCOSTING,295,Legal
NYS LAWS-UNCLASSIFIED FELONY,294,Miscellaneous 
BURGLAR'S TOOLS,271,Theft
KIDNAPPING & RELATED OFFENSES,201,Crimes against children
OFFENSES RELATED TO CHILDREN,173,Crimes against children
GAMBLING,152,Miscellaneous 
DISORDERLY CONDUCT,120,Disruption 
OFFENSES AGAINST PUBLIC SAFETY,90,Disruption 
PROSTITUTION & RELATED OFFENSES,81,Sexual
ALCOHOLIC BEVERAGE CONTROL LAW,79,Miscellaneous 
PETIT LARCENY OF MOTOR VEHICLE,67,Theft
CHILD ABANDONMENT/NON SUPPORT,40,Crimes against children
JOSTLING,33,Theft
OTHER STATE LAWS,18,Miscellaneous 
"LOITERING/GAMBLING (CARDS, DIC",16,Disruption 
ESCAPE 3,11,Miscellaneous 
HOMICIDE-NEGLIGENT-VEHICLE,11,Assault
ENDAN WELFARE INCOMP,10,Disruption 
ANTICIPATORY OFFENSES,9,Assault
UNLAWFUL POSS. WEAP. ON SCHOOL,8,Assault
NEW YORK CITY HEALTH CODE,6,Miscellaneous 
INTOXICATED/IMPAIRED DRIVING,5,Disruption 
DISRUPTION OF A RELIGIOUS SERV,4,Disruption 
"HOMICIDE-NEGLIGENT,UNCLASSIFIE",2,Assault
LOITERING,2,Disruption 
ADMINISTRATIVE CODES,1,Legal
OTHER TRAFFIC INFRACTION,1,Disruption 
