Description ,Count,Type,,,,,
PETIT LARCENY,82854,Theft,,,,,
HARRASSMENT 2,57038,Assault,,,,,
ASSAULT 3 & RELATED OFFENSES,54436,Assault,,,,,
CRIMINAL MISCHIEF & RELATED OF,47737,Assault,,,,,
GRAND LARCENY,42853,Theft,,,,,
DANGEROUS DRUGS,34675,Miscellaneous,,,,,
OFF. AGNST PUB ORD SENSBLTY &,27382,Disruption ,,,,,
ROBBERY,20192,Theft,,,,,
FELONY ASSAULT,19506,Assault,,,,,
BURGLARY,19262,Theft,,,,,
DANGEROUS WEAPONS,12112,Assault,,,,,
MISCELLANEOUS PENAL LAW,12042,Miscellaneous,,,,,
OFFENSES AGAINST PUBLIC ADMINI,10721,Legal,,,,,
GRAND LARCENY OF MOTOR VEHICLE,8067,Theft,,,,,
INTOXICATED & IMPAIRED DRIVING,6723,Disruption ,,,,,
THEFT-FRAUD,6376,Theft,,,,,
SEX CRIMES,5829,Sexual,,,,,
CRIMINAL TRESPASS,5811,Disruption ,,,,,
VEHICLE AND TRAFFIC LAWS,5575,Disruption ,,,,,
FORGERY,3811,Fraud,,,,,
FRAUDS,3579,Fraud,,,,,
POSSESSION OF STOLEN PROPERTY,3365,Theft,,,,,
OFFENSES INVOLVING FRAUD,1668,Fraud,,,,,
RAPE,1457,Sexual,,,,,
UNAUTHORIZED USE OF A VEHICLE,1419,Theft,,,,,
OFFENSES AGAINST THE PERSON,1243,Assault,,,,,
ARSON,1243,Destruction of Property,,,,,
ADMINISTRATIVE CODE,1145,Legal,,,,,
OTHER OFFENSES RELATED TO THEF,1067,Theft,,,,,
THEFT OF SERVICES,588,Theft,,,,,
OTHER STATE LAWS (NON PENAL LA,423,Miscellaneous,,,,,
MURDER & NON-NEGL. MANSLAUGHTER,419,Assault,,,,,
NYS LAWS-UNCLASSIFIED FELONY,304,Assault,,,,,
FRAUDULENT ACCOSTING,292,Fraud,,,,,
BURGLAR'S TOOLS,290,Theft,,,,,
KIDNAPPING & RELATED OFFENSES,203,Crimes against children,,,,,
GAMBLING,190,Miscellaneous,,,,,
OFFENSES RELATED TO CHILDREN,182,Crimes against children,,,,,
OFFENSES AGAINST PUBLIC SAFETY,105,Disruption ,,,,,
DISORDERLY CONDUCT,97,Disruption ,,,,,
ALCOHOLIC BEVERAGE CONTROL LAW,91,Miscellaneous,,,,,
PROSTITUTION & RELATED OFFENSES,76,Sexual,,,,,
PETIT LARCENY OF MOTOR VEHICLE,67,Theft,,,,,
JOSTLING,47,Assault,,,,,
CHILD ABANDONMENT/NON SUPPORT,26,Crimes against children,,,,,
OTHER STATE LAWS,20,Miscellaneous,,,,,
ENDAN WELFARE INCOMP,16,Disruption ,,,,,
HOMICIDE-NEGLIGENT-VEHICLE,12,Assault,,,,,
ESCAPE 3,11,Miscellaneous,,,,,
"LOITERING/GAMBLING (CARDS, DIC",9,Destruction of Property,,,,,
ANTICIPATORY OFFENSES,8,Theft,,,,,
"HOMICIDE-NEGLIGENT,UNCLASSIFIE",5,Assault,,,,,
INTOXICATED/IMPAIRED DRIVING,5,Miscellaneous,,,,,
UNLAWFUL POSS. WEAP. ON SCHOOL,5,Assault,,,,,
DISRUPTION OF A RELIGIOUS SERV,4,Disruption ,,,,,
ADMINISTRATIVE CODES,4,Legal,,,,,
FORTUNE TELLING,3,Miscellaneous,,,,,
OTHER STATE LAWS (NON PENAL LAW),3,Miscellaneous,,,,,
LOITERING,3,Destruction of Property,,,,,
OTHER TRAFFIC INFRACTION,3,Disruption ,,,,,
NEW YORK CITY HEALTH CODE,1,Miscellaneous,,,,,
OFFENSES AGAINST MARRIAGE UNCL,1,Miscellaneous,,,,,
