PETIT LARCENY,84999
HARRASSMENT 2,61950
ASSAULT 3 & RELATED OFFENSES,53737
CRIMINAL MISCHIEF & RELATED OF,47198
GRAND LARCENY,44185
DANGEROUS DRUGS,28800
FELONY ASSAULT,20281
OFF. AGNST PUB ORD SENSBLTY &,19884
BURGLARY,16846
ROBBERY,16568
MISCELLANEOUS PENAL LAW,13701
DANGEROUS WEAPONS,10769
OFFENSES AGAINST PUBLIC ADMINI,10295
INTOXICATED & IMPAIRED DRIVING,7875
GRAND LARCENY OF MOTOR VEHICLE,7650
VEHICLE AND TRAFFIC LAWS,5837
SEX CRIMES,5338
CRIMINAL TRESPASS,5147
FORGERY,4713
THEFT-FRAUD,4707
FRAUDS,3797
POSSESSION OF STOLEN PROPERTY,2521
UNAUTHORIZED USE OF A VEHICLE,1720
OFFENSES INVOLVING FRAUD,1525
RAPE,1357
OTHER OFFENSES RELATED TO THEF,1347
OFFENSES AGAINST THE PERSON,1334
ARSON,1191
ADMINISTRATIVE CODE,1097
OTHER STATE LAWS (NON PENAL LA,553
THEFT OF SERVICES,444
NYS LAWS-UNCLASSIFIED FELONY,422
BURGLAR'S TOOLS,375
MURDER & NON-NEGL. MANSLAUGHTER,333
FRAUDULENT ACCOSTING,242
GAMBLING,184
KIDNAPPING & RELATED OFFENSES,166
OFFENSES RELATED TO CHILDREN,136
PROSTITUTION & RELATED OFFENSES,125
OFFENSES AGAINST PUBLIC SAFETY,109
PETIT LARCENY OF MOTOR VEHICLE,78
ALCOHOLIC BEVERAGE CONTROL LAW,69
DISORDERLY CONDUCT,47
JOSTLING,39
CHILD ABANDONMENT/NON SUPPORT,24
ENDAN WELFARE INCOMP,24
OTHER STATE LAWS,19
NEW YORK CITY HEALTH CODE,12
INTOXICATED/IMPAIRED DRIVING,12
ESCAPE 3,9
"HOMICIDE-NEGLIGENT,UNCLASSIFIE",7
DISRUPTION OF A RELIGIOUS SERV,6
UNLAWFUL POSS. WEAP. ON SCHOOL,5
"LOITERING/GAMBLING (CARDS, DIC",5
ANTICIPATORY OFFENSES,4
HOMICIDE-NEGLIGENT-VEHICLE,3
LOITERING FOR DRUG PURPOSES,1
UNDER THE INFLUENCE OF DRUGS,1
KIDNAPPING,1
OTHER TRAFFIC INFRACTION,1
