Description,Count,Type
PETIT LARCENY,81255,Theft
HARRASSMENT 2,65930,Assault
ASSAULT 3 & RELATED OFFENSES,52502,Assault
CRIMINAL MISCHIEF & RELATED OF,48859,Assault
GRAND LARCENY,44261,Theft
OFF. AGNST PUB ORD SENSBLTY &,22764,Miscellaneous
DANGEROUS DRUGS,22649,Miscellaneous
FELONY ASSAULT,20835,Assault
ROBBERY,15499,Theft
MISCELLANEOUS PENAL LAW,13885,Miscellaneous
BURGLARY,12990,Theft
DANGEROUS WEAPONS,10471,Assault
OFFENSES AGAINST PUBLIC ADMINI,8935,Legal
VEHICLE AND TRAFFIC LAWS,6577,Legal
GRAND LARCENY OF MOTOR VEHICLE,6326,Theft
FORGERY,6282,Fraud
SEX CRIMES,6270,Sexual
INTOXICATED & IMPAIRED DRIVING,5965,Miscellaneous
THEFT-FRAUD,4795,Fraud
CRIMINAL TRESPASS,3928,Disruption
FRAUDS,3396,Fraud
UNAUTHORIZED USE OF A VEHICLE,1810,Disruption
OTHER OFFENSES RELATED TO THEF,1728,Theft
POSSESSION OF STOLEN PROPERTY,1699,Theft
RAPE,1437,Sexual
OFFENSES INVOLVING FRAUD,1245,Fraud
OFFENSES AGAINST THE PERSON,1227,Disruption
ADMINISTRATIVE CODE,1002,Legal
ARSON,776,Disruption
NYS LAWS-UNCLASSIFIED FELONY,688,Miscellaneous
THEFT OF SERVICES,486,Legal
MURDER & NON-NEGL. MANSLAUGHTER,335,Assault
GAMBLING,268,Miscellaneous
BURGLAR'S TOOLS,263,Theft
OTHER STATE LAWS (NON PENAL LA,242,Legal
FRAUDULENT ACCOSTING,212,Fraud
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,139,Miscellaneous
KIDNAPPING & RELATED OFFENSES,137,Crimes against children
PROSTITUTION & RELATED OFFENSES,129,Sexual
OFFENSES RELATED TO CHILDREN,107,Crimes against children
ALCOHOLIC BEVERAGE CONTROL LAW,96,Miscellaneous
DISORDERLY CONDUCT,73,Disruption
OFFENSES AGAINST PUBLIC SAFETY,56,DIsruption
JOSTLING,49,Assault
PETIT LARCENY OF MOTOR VEHICLE,40,Theft
ENDAN WELFARE INCOMP,32,Miscellaneous
CHILD ABANDONMENT/NON SUPPORT,21,Crimes against children
OTHER STATE LAWS,19,Miscellaneous
NYS LAWS-UNCLASSIFIED VIOLATION,14,Miscellaneous
"LOITERING/GAMBLING (CARDS, DIC",10,Disruption
ESCAPE 3,8,Miscellaneous
KIDNAPPING,7,Crimes against children
NEW YORK CITY HEALTH CODE,4,Miscellaneous
OTHER STATE LAWS (NON PENAL LAW),4,Miscellaneous
UNLAWFUL POSS. WEAP. ON SCHOOL,3,Crimes against children
DISRUPTION OF A RELIGIOUS SERV,3,Disruption
"HOMICIDE-NEGLIGENT,UNCLASSIFIE",3,Assault
ANTICIPATORY OFFENSES,2,Fraud
HOMICIDE-NEGLIGENT-VEHICLE,1,Assault
INTOXICATED/IMPAIRED DRIVING,1,Disruption
LOITERING,1,Disruption
ADMINISTRATIVE CODES,1,Legal
